"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"22210","\N","000000022210","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22211","\N","000000022211","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22212","\N","000000022212","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22213","\N","000000022213","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22214","\N","000000022214","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22215","\N","000000022215","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22216","\N","000000022216","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22217","\N","000000022217","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"23820","\N","000000023820","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"2963","4682","000000002963","\N","10","23","16","2971","","2028-12-31 00:00:00","\N","\N","132","2008"
"23821","\N","000000023821","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"23822","\N","000000023822","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27451","\N","000000027451","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"23823","\N","000000023823","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21341","5141","000000021341","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"25256","\N","000000025256","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21343","5136","000000021343","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"25257","\N","000000025257","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21344","5126","000000021344","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"2614","5459","000000002614","\N","10","23","12","2530","","2021-12-31 00:00:00","\N","\N","132","2001"
"21346","5138","000000021346","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"23824","\N","000000023824","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
