"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"23947","\N","000000023947","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20522","5616","000000020522","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"23948","\N","000000023948","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24331","\N","000000024331","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22338","5724","000000022338","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"16822","4445","000000016822","\N","10","23","4","3826","","2033-12-31 00:00:00","\N","\N","147","2013"
"22346","5802","000000022346","\N","10","23","5","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"24332","\N","000000024332","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"16823","4445","000000016823","\N","10","23","4","3826","","2033-12-31 00:00:00","\N","\N","147","2013"
"24333","\N","000000024333","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22646","\N","000000022646","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"16824","5109","000000016824","\N","10","23","4","3826","","2033-12-31 00:00:00","\N","\N","147","2013"
"22648","\N","000000022648","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24334","\N","000000024334","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24335","\N","000000024335","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22930","5334","000000022930","\N","10","23","5","3756","","2034-12-31 00:00:00","\N","\N","160","2014"
"22649","5143","000000022649","\N","10","23","4","3861","","2021-12-31 00:00:00","\N","\N","160","2001"
"25636","\N","000000025636","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25637","\N","000000025637","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24857","\N","000000024857","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24858","\N","000000024858","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24983","\N","000000024983","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25292","\N","000000025292","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25293","\N","000000025293","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25294","\N","000000025294","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25295","\N","000000025295","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22159","5911","000000022159","\N","10","23","4","3766","","2029-12-31 00:00:00","\N","\N","155","2009"
"25296","\N","000000025296","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22374","\N","000000022374","\N","10","23","2","3758","\N","2034-12-31 00:00:00","\N","\N","160","2014"
"25297","\N","000000025297","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25298","\N","000000025298","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25299","\N","000000025299","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25300","\N","000000025300","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27466","\N","000000027466","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21682","5411","000000021682","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"23107","\N","000000023107","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
